cluster_id,source,scrap_id,name
0,1,1,gold standard 100% whey protein
0,1,4,gold standard 100% whey protein
0,1,18,gold standard 100% whey protein
0,1,23,gold standard 100% whey protein
0,4,1197,gold standard 100% whey
1,2,194,whey gold standard 1 servicio
2,2,197,whey gold standard
2,2,192,whey gold standard
3,1,62,gold standard 100% isolate vainilla gf
4,1,60,gold standard 100% isolate chocolate bliss gf
5,3,1146,gold standard
6,1,16,100% whey protein isolate gold standard
6,1,21,100% whey protein isolate gold standard
