id,original_title,matched_brand,cleaned_title,manual_label
1,optimum nutrition gold standard 100% whey protein 5 lb original,optimum nutrition,gold standard 100% whey protein,
2,ultimate nutrition prostar whey whey protein 5 lb original,ultimate nutrition,prostar whey whey protein,
3,winkler whey pro win 44 lb,winkler,whey pro win,
4,optimum nutrition gold standard 100% whey protein 2 lb original,optimum nutrition,gold standard 100% whey protein,
5,muscletech nitro tech 100% whey gold 5 lb original,muscletech,nitro tech 100% whey gold,
6,ultimate nutrition prostar whey whey protein 2 lb original,ultimate nutrition,prostar whey whey protein,
7,muscletech nitro tech whey protein 4 lb original,muscletech,nitro tech whey protein,
8,myprotein impact whey protein 2.5 kg,myprotein,impact whey protein,
9,quest quest protein cookie snack proteico 59 gr,chef protein,quest quest protein cookie snack proteico,
10,bsn syntha 6 whey protein 5 lb original,my protein,bsn syntha 6 whey protein,
11,sportlab whey matrix whey protein 5 lb original,sportlab,whey matrix whey protein,
12,dymatize iso 100 isolate protein 5 lb,dymatize,iso 100 isolate protein,
13,ultimate nutrition prostar whey whey protein 1 lb original,ultimate nutrition,prostar whey whey protein,
14,ultimate nutrition prostar 100% raw whey protein 22 lb original,ultimate nutrition,prostar 100% raw whey protein,
15,muscletech nitro tech whey protein 2 lb original,muscletech,nitro tech whey protein,
16,optimum nutrition 100% whey protein isolate gold standard 5 lb original,optimum nutrition,100% whey protein isolate gold standard,
17,winkler whey pro win 22 lb,winkler,whey pro win,
18,optimum nutrition gold standard 100% whey protein 4.65 lb original,optimum nutrition,gold standard 100% whey protein,
19,muscletech nitro tech 100% whey gold 2 lb original,muscletech,nitro tech 100% whey gold,
20,nutrex isofit isolate protein 5 lb original,nutrex,isofit isolate protein,
21,optimum nutrition 100% whey protein isolate gold standard 2.91 lb original,optimum nutrition,100% whey protein isolate gold standard,
22,nutrex isofit isolate protein 23 lb original,nutrex,isofit isolate protein,
23,optimum nutrition gold standard 100% whey protein 1.85 lb original,optimum nutrition,gold standard 100% whey protein,
24,bsn syntha 6 whey protein 29 lb original,my protein,bsn syntha 6 whey protein,
25,integralmedica whey 100% pure whey protein 2 lb original,integralmedica,whey 100% pure whey protein,
26,myprotein impact whey isolate 25 kg,myprotein,impact whey isolate,
27,nutrex isofit isolate protein 5 lb,nutrex,isofit isolate protein,
28,ultimate nutrition whey gold whey protein 5 lb original,ultimate nutrition,whey gold whey protein,
29,sportlab isolate matrix isolate protein 2 lb original,sportlab,isolate matrix isolate protein,
30,dymatize iso 100 hydrolized 1.43 lb dm,dymatize,iso 100 hydrolized dm,
31,mutant whey 5 lb mutant,mutant,whey,
32,ultimate nutrition iso cool isolate protein 2 lb original,ultimate nutrition,iso cool isolate protein,
33,dymatize iso 100 hydrolized 1.36 lb dm,dymatize,iso 100 hydrolized dm,
34,nutrex isofit 21 lb vainilla cream,nutrex,isofit vainilla cream,
35,winkler prote muscle 500 cc winkler,winkler,prote muscle 500 cc,
36,ultimate nutrition whey gold whey protein 2 lb original,ultimate nutrition,whey gold whey protein,
37,mutant iso surge 5lb mutant,mutant,iso surge,
38,ultimate nutrition iso cool isolate protein 5 lb original,ultimate nutrition,iso cool isolate protein,
39,sportlab whey matrix woman chocolate berries 2 lbs sportlab,sportlab,whey matrix woman chocolate berries,
40,isopure isopure zero carb protein 3 lb,isopure,zero carb protein,
41,quest protein bar mini quest,quest,protein bar mini,
42,isopure isopure zero carb protein 4.5 lb,isopure,zero carb protein,
43,syntrax nect 2lb syn,syntrax,nect syn,
44,isopure isopure zero carb protein 1 lb unflavored,isopure,zero carb protein unflavored,
45,isopure isopure low carb protein 1 lb chocolate,isopure,low carb protein chocolate,
46,muscletech grassfed 100% whey protein 1.8 lb mtech,muscletech,grassfed 100% whey protein mtech,
47,sportlab whey matrix whey protein 2 lb original,sportlab,whey matrix whey protein,
48,winkler whey pro win sachet 33 grs wkl,winkler,whey pro win sachet 33 grs wkl,
49,syntrax nectar grab n go isolate protein 31 gr original,syntrax,nectar grab n go isolate protein,
50,quest frosted cookies quest,quest,frosted cookies,
51,mutant 100% whey dual 4 lb triple chocolate/vanilla ice cream mtant,mutant,100% whey dual triple chocolate/vanilla ice cream mtant,
52,easybody skinny protein 450g easy,easybody,skinny protein easy,
53,mutant whey 10 lb mutant,mutant,whey,
54,integralmedica whey 100% pure whey protein 4 lb original,integralmedica,whey 100% pure whey protein,
55,integralmedica my whey protein pouch 900gr im,integralmedica,my whey protein pouch im,
56,integralmedica nutri whey protein 4 lb original,integralmedica,nutri whey protein,
57,integralmedica nutri whey protein 2 lb original,integralmedica,nutri whey protein,
58,integralmedica protein whey bar vo2 im,integralmedica,protein whey bar vo2 im,
59,chef protein chef protein 2.8lb sin sabor,chef protein,sin sabor,
60,optimum nutrition gold standard 100% isolate chocolate bliss gf 1.64 lb on,optimum nutrition,gold standard 100% isolate chocolate bliss gf,
61,syntrax nectar isolate proteína 2 lb sin cafeína,syntrax,nectar isolate proteína sin cafeína,
62,optimum nutrition gold standard 100% isolate vainilla gf 1.58 lb on,optimum nutrition,gold standard 100% isolate vainilla gf,
63,syntrax nect latte 2lb syn,syntrax,nect latte syn,
64,integralmedica my whey protein rtd 250ml im,integralmedica,my whey protein rtd im,
65,syntrax nect medical 2lb unflavored syn,syntrax,nect medical unflavored syn,
66,qnt light digest whey pro 11 lb,qnt,light digest whey pro,
67,nutrex whey protein 100% whey 5lb,nutrex,whey protein 100% whey,
191,ultimate nutrition ultimate nutrition prostar 5 lb,ultimate nutrition,prostar,
193,biotechusa biotech 100% pure whey 1 servicio,biotechusa,biotech 100% pure whey 1 servicio,
195,ostrovit ostrovit whey protein wpc80 700 gr sin sabor,ostrovit,whey protein wpc80 sin sabor,
197,optimum nutrition on whey gold standard 2 lb,optimum nutrition,whey gold standard,
199,muscletech muscletech nitrotech 4 lb,muscletech,nitrotech,
201,nutrabio nutrabio classic whey protein 5 lb,nutrabio,classic whey protein,
203,my protein myprotein impact whey 5.5 lb,myprotein,my protein impact whey,
205,ostrovit ostrovit 100% whey protein 700 gr,ostrovit,100% whey protein,
1139,gold standard 5lb creatina 300gr nutrex shaker fire,nutrex,gold standard creatina shaker fire,
1143,prostar whey 5lb creatina 300gr ultimate nutrition,ultimate nutrition,prostar whey creatina,
1147,nitro tech 4lb muscletech,muscletech,nitro tech,
1151,impact whey 5lb phedracut,integralmedica,impact whey phedracut,
1155,elite whey 5lb dymatize phedracut,dymatize,elite whey phedracut,
1159,whey 2 kg protein ostrovit quemador phedracut usn,ostrovit,whey protein quemador phedracut usn,
1163,protein shake 330 ml qnt,my protein,protein shake qnt,
1167,your protein whey 1.28 kg,my protein,your protein whey,
1171,whey protein 100% 5lb nutrex quemador phedracut usn,nutrex,whey protein 100% quemador phedracut usn,
1175,elite whey 5lb creatina 300gr ostrovit shaker fire,ostrovit,elite whey creatina shaker fire,
1179,ostrovit 100% whey protein 4.4 lbs ostrovit,ostrovit,100% whey protein,
1183,cellucor c4 whey protein hersheys reeses,cellucor,c4 whey protein hersheys reeses,
1187,dymatize iso 100 5 lbs,dymatize,iso 100,
1191,finaflex isolate protein finaflex 55 lb,finaflex,isolate protein,
1195,redcon 1 isotope 5 lbs,redcon 1,isotope,
1199,metabolic nutrition musclean 2.5 lbs,metabolic nutrition,musclean,
1203,muscletech nitro tech 100% whey gold 5 lbs,muscletech,nitro tech 100% whey gold,
1207,ostrovit protein coffee proteina cafeina,ostrovit,protein coffee proteina cafeina,
1211,rule 1 rule1 whey protein blend 5 lbs,rule 1,rule1 whey protein blend,
192,optimum nutrition on whey gold standard 5 lb,optimum nutrition,whey gold standard,
194,optimum nutrition on whey gold standard 1 servicio,optimum nutrition,whey gold standard 1 servicio,
196,ultimate nutrition ultimate nutrition prostar 2 lb,ultimate nutrition,prostar,
198,ostrovit ostrovit 100% whey protein 2000 gr,ostrovit,100% whey protein,
200,biotechusa biotech 100% pure whey 5 lb,biotechusa,biotech 100% pure whey,
202,muscletech muscletech nitrotech whey gold 5 lb,muscletech,nitrotech whey gold,
1140,iso 100 5lb dymatize,dymatize,iso 100,
1144,prostar whey 5lb creatina nutrex 300gr shaker fire,nutrex,prostar whey creatina shaker fire,
1148,prostar 5lb whey ultimate nutrition,ultimate nutrition,prostar whey,
1152,ration whey redcon1 shaker fire,redcon 1,ration whey redcon1 shaker fire,
1156,protein bite 55gr your goal,my protein,protein bite your goal,
1160,proteína metapure whey isolate 500 ml qnt,myprotein,proteína metapure whey isolate qnt,
1164,twentys 60gr your goal,dymatize,twentys your goal,
1168,your protein bar,my protein,your protein bar,
1172,c4 whey protein cellucor quemador phedracut usn,cellucor,c4 whey protein quemador phedracut usn,
1176,prostar whey 5lb creatina 300gr ultimate nutrition,ultimate nutrition,prostar whey creatina,
1180,simply 100% whey protein simply 5 lb,my protein,simply 100% whey protein simply,
1184,dymatize elite 100% whey 5 lbs,dymatize,elite 100% whey,
1188,bpi sports iso hd 5 lbs,bpi sports,iso hd,
1192,simply isolate protein simply 5 lb,my protein,simply isolate protein simply,
1196,finaflex muestra clear protein finaflex,finaflex,clear protein,
1200,metabolic nutrition musclean 5 lbs,metabolic nutrition,musclean,
1204,muscletech nitro tech 100% whey gold edición limitada 5 lbs,muscletech,nitro tech 100% whey gold edición limitada,
1208,ostrovit protein shake 1.5 lbs sabores,ostrovit,protein shake sabores,
1212,rule 1 rule1 whey protein isolate hydrolyzed 5 lb,rule 1,rule1 whey protein isolate hydrolyzed,
204,dymatize dymatize elite 100% whey protein 5 lb,dymatize,elite 100% whey protein,
1141,impact whey isolate 25 kg my protein,my protein,impact whey isolate,
1145,isolate 5lb kiffer,integralmedica,isolate kiffer,
1149,nitro whey gold 5lb phedracut,nutrabio,nitro whey gold phedracut,
1153,whey 5lb performance kiffer phedracut,chef protein,whey performance kiffer phedracut,
1157,platinium 8hour protein muscletech 4.6 lb,muscletech,platinium 8hour protein,
1161,crunchy bar 65gr qnt,qnt,crunchy bar,
1165,whey gold 6 lb pvl,dymatize,whey gold pvl,
1169,protein crisp bar 45 gr integralmedica,integralmedica,protein crisp bar,
1173,gold standard 5lb creatina 300gr nutrex shaker fire,nutrex,gold standard creatina shaker fire,
1177,ostrovit 100% whey isolate 4 lbs ostrovit,ostrovit,100% whey isolate,
1181,animal animal 100% whey protein 4 lbs,animal,100% whey protein,
1185,dymatize iso 100 1.4 lbs,dymatize,iso 100,
1189,abe iso whey abe 2 lbs,abe,iso whey,
1193,animal isolate whey protein animal 10 lb,animal,isolate whey protein,
1197,optimum nutrition muestra gold standard 100% whey,optimum nutrition,gold standard 100% whey,
1201,muscletech nitro tech 10 lbs,muscletech,nitro tech,
1205,muscletech nitro tech 2.2 lbs,muscletech,nitro tech,
1209,redcon 1 ration 5 lbs redcon1,redcon 1,ration redcon1,
1213,bpi sports whey hd 4 lbs,bpi sports,whey hd,
1138,100% whey protein isolate gold standard 5lb on,my protein,100% whey protein isolate gold standard on,
1142,iso hd 90 cfm 4.4 lb amix,integralmedica,iso hd 90 cfm amix,
1146,gold standard 5lb on,optimum nutrition,gold standard,
1150,whey 5 lb mutant phedracut,mutant,whey phedracut,
1154,whey hd 4.1lb bpi phedracut,chef protein,whey hd bpi phedracut,
1158,whey protein 5lb inner armour phedracut,chef protein,whey protein inner armour phedracut,
1162,wafer bar 35 gr qnt,qnt,wafer bar,
1166,protein coffee ostrovit,ostrovit,protein coffee,
1170,dark bar 90gr integralmedica,integralmedica,dark bar,
1174,prostar whey 5lb creatina nutrex 300gr shaker fire,nutrex,prostar whey creatina shaker fire,
1178,ostrovit 100% whey ostrovit 1.5 lbs,ostrovit,100% whey,
1182,animal animal whey isolate 2 lbs,animal,whey isolate,
1186,dymatize iso 100 3 lbs,dymatize,iso 100,
1190,nutrex isofit 5.1 lbs,nutrex,isofit,
1194,animal isolate whey protein animal 4 lb,animal,isolate whey protein,
1198,simply muestra simply whey protein,my protein,simply simply whey protein,
1202,muscletech nitro tech 100% whey gold 2.5 lbs,muscletech,nitro tech 100% whey gold,
1206,muscletech nitro tech 4 lbs,muscletech,nitro tech,
1210,rule 1 rule1 whey protein blend 2 lbs,rule 1,rule1 whey protein blend,
1214,ostrovit whey protein sin sabor wpc80 15 lb,ostrovit,whey protein sin sabor wpc80,
